Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	2000.0	3.989145	0.75307924	6.671311	1.8368263	3.9678361	0.072896436	4.3289013	3.8674765	54000	-2.0861626e-10	0.41664988	-0.00011951903	-0.00048655272	0.11361065	0.00068902003	0.0066767577	624.0	245.97759461402893
27	2000.0	4.045069	0.7208312	6.2087	2.1659665	3.978232	0.07456239	4.3225703	3.8488677	56000	1.937151e-10	0.4089487	-0.000106328356	-0.0021293163	0.109470025	0.00049859256	0.005786133	624.0	255.15377950668335
28	2000.0	4.0407095	0.7629828	6.1555753	1.7657286	4.015132	0.06695687	4.3396764	3.9085977	58000	-4.5448545e-10	0.43440217	-0.00011272739	-0.00037005544	0.10321018	0.0007607279	0.006423828	624.0	264.35375452041626
29	2000.0	4.0811505	0.75579107	6.2283936	2.031032	4.0369744	0.072673075	4.3733397	3.9316812	60000	8.940697e-11	0.40963683	3.6961737e-06	-0.00027659535	0.10078014	0.00040964244	0.004227539	624.0	273.53382682800293
30	2000.0	4.0667753	0.73858434	6.3910346	2.2628145	4.0846214	0.06848682	4.439524	3.9934952	62000	5.6624416e-10	0.40488753	0.00025824134	-0.0007304549	0.09680797	0.0013378968	0.02239453	624.0	282.72621273994446
31	2000.0	4.1015444	0.756467	6.466696	2.1753714	4.096723	0.07141542	4.4271836	3.9942732	64000	1.0728837e-09	0.42798108	-0.00012704982	0.0004387796	0.09330267	0.00024294127	0.0017158203	624.0	291.93544816970825
32	2000.0	4.059612	0.73228455	6.478066	1.8447038	4.1247883	0.0694897	4.4432144	4.025122	66000	1.4901162e-10	0.40016976	9.219528e-06	-0.0021357536	0.088104025	0.00039568558	0.0041904296	624.0	301.1378700733185
33	2000.0	4.086832	0.7575145	6.8645186	1.9232005	4.0822783	0.06203419	4.3758516	3.991338	68000	4.768372e-10	0.41678828	6.6250206e-05	-0.00039073825	0.085265405	0.0005582816	0.006873047	624.0	310.36248683929443
34	2000.0	4.1057453	0.7574114	5.93549	2.3073487	4.0655503	0.059895337	4.35023	3.9719124	70000	1.2665988e-10	0.41814575	-7.1664224e-05	-0.00044253469	0.08241593	0.00037089502	0.0026484374	624.0	319.61331009864807
35	2000.0	4.08719	0.7451771	6.3049736	1.7910502	4.0712366	0.0658794	4.381515	3.9872134	72000	-4.321337e-10	0.43868417	-9.9893536e-05	-0.0007404089	0.08131516	0.0002833395	0.0021210937	624.0	328.87636065483093
36	2000.0	4.0943074	0.7645085	6.2665877	1.8035561	4.117546	0.072092615	4.436432	4.0209727	74000	-1.2665988e-10	0.43194535	-4.7685848e-05	-0.00015175343	0.0792602	0.0003476373	0.0030820312	624.0	338.13152289390564
37	2000.0	4.1301723	0.7400539	6.1252484	1.8929797	4.125501	0.060810562	4.4372544	4.029933	76000	5.960465e-11	0.41580126	0.00024569847	-0.0005146563	0.07742658	0.0009725294	0.014953125	624.0	347.38588643074036
38	2000.0	4.1182528	0.7738451	6.2601457	2.127077	4.130095	0.06076005	4.455704	4.026955	78000	-2.0861626e-09	0.4200615	-3.5965328e-05	-0.00068953633	0.07520467	0.0004119976	0.0026201173	624.0	356.65374541282654
39	2000.0	4.0790443	0.7818211	6.437187	2.0243402	4.1178613	0.0676406	4.40517	4.020317	80000	-9.834766e-10	0.43533513	0.00010311391	-9.208918e-06	0.074504636	0.00043310577	0.0052041016	624.0	365.9371201992035
40	2000.0	4.05188	0.73051757	6.477256	1.8930683	4.1288333	0.07012366	4.4810777	4.017856	82000	7.748604e-10	0.4066059	-4.273546e-05	-0.0018220544	0.07298521	0.00011920008	0.00046777344	624.0	375.2299325466156
41	2000.0	4.093915	0.75801754	6.767467	1.8680042	4.0945544	0.05489459	4.3558097	4.0100026	84000	-2.026558e-09	0.43349248	6.403804e-06	0.00035595894	0.070713095	0.0002470014	0.0018085937	624.0	384.5161943435669
42	2000.0	4.032021	0.71429574	6.62202	1.6827269	4.1226683	0.06010622	4.4146047	4.033362	86000	2.384186e-10	0.39241558	-5.508392e-05	-0.0019882917	0.069535844	0.00010036891	0.00023730469	624.0	393.8015282154083
43	2000.0	4.100192	0.7583949	6.2818904	2.1919615	4.089552	0.054282743	4.3718696	4.003407	88000	-8.3446505e-10	0.41246894	-6.150669e-05	-0.00016877055	0.06732315	0.00013564141	0.0004189453	624.0	403.0552866458893
44	2000.0	4.0463514	0.7476309	6.45739	2.2596457	4.1122675	0.06606279	4.4198785	4.007891	90000	-9.834766e-10	0.40249532	-1.5446813e-05	-0.002043426	0.066315435	0.00032227507	0.0030927735	624.0	412.3038170337677
45	2000.0	4.087928	0.7538731	6.4115987	2.1451943	4.0751195	0.06188513	4.4151106	3.9886847	92000	-5.3644184e-10	0.43814492	0.00014091826	-0.0009148419	0.06515091	0.00071557524	0.011017578	624.0	421.52041578292847
46	2000.0	4.047362	0.70457053	6.224791	2.0950847	4.101573	0.062431213	4.4307466	4.0220795	94000	-1.1175871e-09	0.39307392	-3.4987555e-05	-0.00024172664	0.06354227	0.00012754848	0.00060058595	624.0	430.7119610309601
47	2000.0	4.186283	0.79046154	6.821045	1.7048628	4.06684	0.06630719	4.3865266	3.962665	96000	1.4901162e-10	0.4601891	-5.8704707e-05	-0.005015582	0.06204696	0.00018168507	0.001194336	624.0	439.91313338279724
48	2000.0	4.1059065	0.7508248	6.455043	1.7131788	4.140971	0.06460295	4.482599	4.057768	98000	5.960465e-11	0.4473427	-6.271488e-05	-0.00045731664	0.060389135	9.359924e-05	0.00075390626	624.0	449.1205303668976
49	2000.0	4.1110187	0.7487207	6.2004533	1.8082558	4.1277924	0.05908175	4.4157248	4.0428753	100000	2.1457673e-09	0.41826016	-4.2633685e-05	-0.00019681454	0.058684256	0.0001119742	0.0005371094	624.0	458.32036113739014
50	2000.0	4.0851665	0.7403048	6.5820317	2.0655725	4.120416	0.059518147	4.407959	4.0186553	102000	5.960465e-10	0.41632017	-6.960976e-05	-0.00050646067	0.0570153	0.0001277445	0.0008027344	624.0	467.53084444999695
51	2000.0	4.0879097	0.7710287	6.2666264	1.9606642	4.1091475	0.074487485	4.440566	3.9970045	104000	-1.9520523e-09	0.4341872	1.4988557e-05	-0.00013703108	0.05527438	0.0004076082	0.0052851564	624.0	476.7465329170227
52	2000.0	4.12831	0.73835355	6.354195	2.005801	4.075513	0.0666503	4.3866873	3.9869454	106000	2.384186e-10	0.41074753	-2.9928327e-05	-0.0013681352	0.054640893	0.00022613395	0.0019716797	624.0	485.9763946533203
53	2000.0	4.1864214	0.7909605	7.0096025	2.068781	4.110268	0.069072895	4.3987217	4.010602	108000	-7.1525574e-10	0.4408152	6.6384004e-05	-0.0019194484	0.053708065	0.00051771075	0.00575	624.0	495.21031975746155
54	2000.0	4.136567	0.7310426	6.943191	1.8188475	4.1595063	0.07462931	4.4793515	4.070561	110000	8.940697e-11	0.41788536	-5.8328515e-06	-0.0003144443	0.052071933	0.00027036577	0.0028779297	624.0	504.45999908447266
55	2000.0	4.1172123	0.77237195	6.3454843	1.8333232	4.1666484	0.043435268	4.4198833	4.1034293	112000	-8.940697e-11	0.41991675	0.00012253255	-0.0018801689	0.050413303	0.00036715326	0.0046503907	624.0	513.7283999919891
56	2000.0	4.123187	0.7437359	6.9587765	1.8301083	4.1436377	0.05856599	4.4298577	4.0487394	114000	5.066395e-10	0.4166728	4.5558307e-05	-0.00015869737	0.04942995	0.00026880502	0.0020976563	624.0	522.9930908679962
57	2000.0	4.1020975	0.7323131	6.1959867	2.1951685	4.143883	0.06114859	4.416004	4.0541677	116000	1.5497208e-09	0.41147375	3.9007813e-05	-0.0016122758	0.048867956	0.00034164495	0.0046875	624.0	532.2483508586884
58	2000.0	4.070409	0.7408119	6.1288095	1.9331949	4.1020308	0.05948749	4.375315	4.018129	118000	-2.421439e-10	0.4061252	6.79886e-05	-0.00054204464	0.048353888	0.0004066761	0.0047597657	624.0	541.5112476348877
59	2000.0	4.1003056	0.78222144	6.5542874	1.6643002	4.089506	0.064005926	4.4098177	4.0031204	120000	-8.3446505e-10	0.44415095	5.1937997e-05	-0.00023418665	0.04691287	0.00038603196	0.004334961	624.0	550.763352394104
60	2000.0	4.126316	0.6964983	6.3311067	2.273474	4.103172	0.060529552	4.408654	4.0076256	122000	8.642674e-10	0.39741367	9.319732e-05	-0.00049984455	0.045551326	0.00027453495	0.0037626952	624.0	560.033430814743
61	2000.0	4.088518	0.74036956	6.131432	1.750593	4.1138024	0.06293414	4.359738	4.0101695	124000	-2.9802324e-10	0.4245199	2.5644602e-05	-0.0005708337	0.045189094	0.00038759844	0.0056728516	624.0	569.3043711185455
62	2000.0	4.14026	0.7477135	6.156983	1.9351009	4.1051607	0.06949324	4.4443436	4.0100746	126000	-3.5762787e-10	0.44415858	-3.3639672e-06	-0.0010593235	0.044852704	0.00025833282	0.0029941406	624.0	578.5644159317017
63	2000.0	4.155797	0.7055255	6.2981963	2.1658742	4.1293836	0.06288734	4.416009	4.035453	128000	3.5762787e-10	0.39650026	1.7908722e-05	-0.0004979074	0.04368359	0.00027872255	0.0024423827	624.0	587.7966876029968
64	2000.0	4.1116347	0.7780756	6.526578	2.124827	4.15836	0.053226903	4.4211893	4.090587	130000	6.258488e-10	0.4601	-1.5563131e-05	-0.0008304715	0.043081027	0.00017695692	0.0014267578	624.0	597.0192720890045
65	2000.0	4.1898456	0.7550591	6.534167	2.049471	4.1144896	0.080006465	4.4650054	4.0061526	132000	3.5762787e-10	0.42846715	1.9532145e-05	-0.0041864812	0.042436577	0.0002545522	0.00296875	624.0	606.2281203269958
66	2000.0	4.1322784	0.7649743	6.551834	2.1800246	4.184266	0.06746683	4.4769883	4.086644	134000	4.0233136e-10	0.42608956	8.669452e-06	-0.0008906126	0.042108033	0.00020967293	0.002154297	624.0	615.4360632896423
67	2000.0	4.1648464	0.7459325	6.2928424	1.8478603	4.164042	0.061129507	4.4751153	4.0739613	136000	-9.536744e-10	0.41000238	0.00011119965	1.7911196e-05	0.041185316	0.00035896394	0.0041757813	624.0	624.6386258602142
68	2000.0	4.1622534	0.7824939	6.3649545	1.6749498	4.1404333	0.061445378	4.427099	4.0432615	138000	1.7881394e-10	0.44659758	6.381276e-05	0.0007700324	0.040523898	0.0001714193	0.0016347656	624.0	633.8520112037659
69	2000.0	4.126102	0.7160858	6.1670084	2.259002	4.116311	0.060952764	4.4512753	4.0345144	140000	-7.5995926e-10	0.40508935	-2.7224809e-05	-0.0002580583	0.039927818	0.00012490581	0.0010986328	624.0	643.0380091667175
70	2000.0	4.0880995	0.744373	6.41789	2.1080344	4.126159	0.06763462	4.439075	4.0433574	142000	2.0861626e-10	0.42735666	-5.9491875e-05	-0.00046944618	0.0391162	0.00014579808	0.001303711	624.0	652.2213099002838
71	2000.0	4.187397	0.7654791	6.3851633	1.755639	4.0957723	0.06296109	4.397635	3.9989436	144000	1.4901162e-11	0.42406106	3.456533e-05	-0.0025222003	0.0383255	0.00017881535	0.0020009766	624.0	661.372138261795
72	2000.0	4.1863933	0.72142005	6.365954	2.0222692	4.1445875	0.06309696	4.45201	4.042357	146000	-5.3644184e-10	0.40300393	2.350265e-05	-0.00063824654	0.03817271	0.00020771351	0.0022402343	624.0	670.5178883075714
73	2000.0	4.151437	0.7573217	6.3503075	2.0226805	4.1505785	0.06335769	4.4891334	4.078118	148000	4.768372e-10	0.43406892	-2.7309537e-05	0.00021776557	0.037807323	0.00023855142	0.0026689454	624.0	679.6840152740479
74	2000.0	4.039506	0.7392559	6.660356	1.7488799	4.1863627	0.06034472	4.48325	4.105309	150000	-8.940697e-11	0.44345522	-2.3562776e-05	-0.008056521	0.037098303	0.00016107954	0.0016630859	624.0	688.8645150661469
75	2000.0	4.140073	0.753657	6.7715945	1.9611671	4.1089945	0.07463251	4.4391375	4.003216	152000	0.0	0.4376347	0.0001856677	-0.0004798174	0.03657485	0.00034876994	0.0043564453	624.0	698.0663323402405
76	2000.0	4.123945	0.80277646	6.8792458	1.7904015	4.1164417	0.06299671	4.4256644	4.032449	154000	8.940697e-10	0.46723005	0.000115090676	0.0004889965	0.03596122	0.00044701959	0.0070927734	624.0	707.292441368103
77	2000.0	4.1665363	0.69717777	6.0042167	1.8160623	4.1496863	0.06867515	4.4992285	4.0594296	156000	-9.387732e-10	0.38314766	2.6348667e-05	-0.00012651086	0.035358332	0.00027413998	0.0028515626	624.0	716.5186126232147
78	2000.0	4.1122804	0.7546016	6.2874427	1.6548758	4.1723905	0.04697904	4.4146233	4.094572	158000	-1.013279e-09	0.43390033	1.0480702e-05	-0.0015056431	0.035058655	0.00035648883	0.0044785156	624.0	725.7516367435455
79	2000.0	4.0694146	0.7529406	6.462297	1.8780503	4.133615	0.079675876	4.5450807	4.0349545	160000	6.5565114e-10	0.41043484	-2.339366e-05	-0.0014571548	0.034722786	0.00011466292	0.0006757812	624.0	735.0033392906189
80	2000.0	4.1119676	0.76406485	6.285296	1.4246184	4.0962453	0.07137711	4.4164195	3.9974027	162000	5.960465e-10	0.43784958	6.428631e-05	-9.378791e-05	0.03450639	0.0002757509	0.0029326172	624.0	744.2787108421326
81	2000.0	4.127799	0.757053	6.5500917	1.8946999	4.111479	0.057826612	4.4366474	4.0178704	164000	3.397465e-09	0.4266232	0.00011083621	-0.00021842122	0.034340296	0.00039492367	0.0053447266	624.0	753.5532653331757
82	2000.0	4.1036973	0.760961	6.0718775	1.3617678	4.0848804	0.06933225	4.4142914	3.9838178	166000	8.3446505e-10	0.4310609	4.6168927e-05	-0.00015476346	0.033604216	0.00023677222	0.0026992187	624.0	762.8478047847748
83	2000.0	4.113658	0.7433867	6.3302116	2.121549	4.0954943	0.06608562	4.407988	3.9957464	168000	-1.2218953e-09	0.44052038	0.00013509074	-0.0003003478	0.03385154	0.00044402672	0.0059765624	624.0	772.1590232849121
84	2000.0	4.1691656	0.7681744	6.2564116	2.1696267	4.110079	0.058678057	4.366163	4.0213003	170000	1.4901162e-10	0.45147383	0.0003790031	-0.0019741058	0.03301708	0.0007481562	0.010925781	624.0	781.4739007949829
85	2000.0	4.1482	0.7628063	6.1825914	1.4422547	4.144622	0.07242675	4.46574	4.0387096	172000	3.6209824e-09	0.43111914	2.29114e-05	0.0005348325	0.03274328	0.00022851887	0.0028085937	624.0	790.784544467926
86	2000.0	4.1817245	0.75702184	6.831205	2.1080217	4.11188	0.07348902	4.4557533	4.014032	174000	-4.4703485e-10	0.42623276	-3.0819654e-05	-0.0014839172	0.03225797	0.00012110281	0.0011669922	624.0	800.082346200943
87	2000.0	4.1613083	0.7616393	6.181711	2.1670396	4.1579742	0.06939949	4.4898925	4.0706124	176000	-2.9802324e-10	0.45522287	3.5869987e-05	-0.00018104911	0.031724323	0.00020273322	0.0018359375	624.0	809.3652627468109
88	2000.0	4.1495447	0.7466854	6.0876527	1.8563023	4.168157	0.06895395	4.5074077	4.0630794	178000	1.7881394e-10	0.41760972	2.0986321e-05	-0.00061005354	0.031346016	0.00021302758	0.0031992188	624.0	818.6232268810272
89	2000.0	4.132559	0.7927043	6.3664	2.0138085	4.148095	0.056196176	4.421217	4.0672975	180000	6.4074995e-10	0.45175695	0.00010273511	-0.00046667457	0.031081695	0.0003494558	0.004950195	624.0	827.8777692317963
90	2000.0	4.098526	0.75750697	7.022831	1.7393109	4.1189904	0.079219155	4.431669	3.9956698	182000	-8.940697e-10	0.42406878	6.8069403e-06	-0.0006635487	0.030797651	0.0001998276	0.002671875	624.0	837.142468214035
91	2000.0	4.0413723	0.7424884	6.5184765	2.0794892	4.0911965	0.06671921	4.4063807	3.992098	184000	-8.940697e-11	0.42036736	-2.8008106e-05	-0.00096043944	0.030874833	0.00020979183	0.002705078	624.0	846.3676002025604
