Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	2000.0	0.10378882	0.37420365	1.6618618	-1.0558747	0.006735251	0.030223262	0.103183135	-0.06837006	2000	-2.8312208e-10	0.11611068	-0.007348327	-0.010737099	0.6880077	0.010436823	0.083464846	187.0	10.45843768119812
1	2000.0	0.3541464	0.48164392	2.3407397	-0.69452256	0.042310797	0.10831713	0.35844272	-0.16340551	4000	-6.8545347e-10	0.19412273	-0.0045087296	-0.029364184	0.6791448	0.010579275	0.06700195	620.0	21.18664264678955
2	2000.0	0.8330542	0.6488725	4.5098743	-0.58001924	0.20476706	0.10773199	0.5636853	0.03511481	6000	2.9802324e-11	0.43471047	-0.004408787	-0.11998969	0.6487265	0.008129547	0.09163281	624.0	31.61223554611206
3	2000.0	1.3320405	0.78278065	4.1326833	-0.62064964	0.5374116	0.107558794	0.90246785	0.38486025	8000	2.6822092e-10	0.66430205	-0.004032928	-0.19546801	0.6044176	0.005702906	0.08803711	624.0	42.32574963569641
4	2000.0	1.9366984	0.872783	5.081731	-0.15584187	0.9861104	0.10575694	1.3532214	0.8627998	10000	1.6391279e-10	0.90688705	-0.0037500013	-0.28885406	0.5564869	0.0037434674	0.009742675	624.0	52.6654167175293
5	2000.0	2.4281783	0.94226575	6.081955	-0.05625799	1.5197724	0.10421768	1.8564647	1.4010383	12000	3.129244e-10	0.9862652	-0.0031975547	-0.26696175	0.5101646	0.00475172	0.061257813	624.0	63.140665769577026
6	2000.0	2.9317327	1.0521817	6.5209975	0.071866155	2.0346704	0.101888336	2.356951	1.9306915	14000	-1.244247e-09	1.1218129	-0.0028129285	-0.26742417	0.46594194	0.0027832906	0.03548486	624.0	73.88065242767334
7	2000.0	3.4416585	1.0783999	6.9428363	0.41450348	2.5727854	0.10224247	2.940804	2.4684362	16000	-4.768372e-10	1.1392574	-0.002512418	-0.23422939	0.42223954	0.0028821458	0.051380858	624.0	84.21341896057129
8	2000.0	3.852923	1.0986931	7.7055216	0.38947654	3.050076	0.10238399	3.3886828	2.9516459	18000	8.940697e-10	1.1373836	-0.0022078424	-0.19296646	0.37553325	0.0020749355	0.02495459	624.0	94.55908846855164
9	2000.0	4.1389933	1.1461527	9.020623	0.9414059	3.4843023	0.09891848	3.8208177	3.3990762	20000	1.937151e-10	1.1191343	-0.0017891002	-0.1347413	0.3373686	0.0016978718	0.019494629	624.0	104.88185000419617
10	2000.0	4.480908	1.1196842	8.083338	0.990925	3.8492353	0.107471466	4.1598854	3.7491083	22000	9.685756e-10	1.1523395	-0.0012593146	-0.13315022	0.3011144	0.0011417406	0.018407227	624.0	115.26928615570068
11	2000.0	4.719885	1.1716291	8.319499	1.4944714	4.191186	0.09203828	4.4700413	4.1040516	24000	-3.3900144e-10	1.1351795	-0.001053046	-0.09060454	0.27233216	0.0007237463	0.0	624.0	125.74567317962646
12	2000.0	4.909473	1.2075036	9.083854	0.98625493	4.470753	0.09731374	4.7915792	4.3925266	26000	4.917383e-10	1.1272504	-0.00086697127	-0.069928646	0.25193754	0.0011529637	0.01955127	624.0	136.52976751327515
13	2000.0	4.968458	1.147532	8.91482	1.4166034	4.740428	0.10381887	5.0632334	4.650395	28000	-7.692725e-10	1.0217892	-0.0003937663	-0.017215729	0.23089145	0.0022507792	0.031635255	624.0	147.24510025978088
14	2000.0	5.220995	1.1479353	8.652654	1.5649785	4.8653703	0.105545655	5.190863	4.7679663	30000	-4.768372e-10	1.0879451	-0.0005241064	-0.04706669	0.20530578	0.00035343313	0.000484375	624.0	157.71408224105835
15	2000.0	5.3131957	1.1775646	9.021644	1.991528	5.0560784	0.09675824	5.346231	4.965075	32000	1.4156104e-10	1.065005	-0.0005005845	-0.025200963	0.19153939	0.00041549111	0.006730957	624.0	168.4739270210266
16	2000.0	5.3586893	1.1765047	8.607124	1.7741802	5.1840057	0.09725709	5.4790325	5.0952516	34000	-3.6507847e-10	1.021941	-0.0004302526	-0.0078002214	0.17531614	0.0004020156	0.0058081057	624.0	178.9337956905365
17	2000.0	5.4571257	1.1961492	9.803242	1.579571	5.293013	0.08565369	5.5645037	5.2149353	36000	-2.9802324e-11	1.0995573	-0.0002935201	-0.011710763	0.16036254	0.0007700073	0.0015463867	624.0	189.65055990219116
