N,delay,x0,AvgRet,StdRet
1,0,0.0,5.8957295417785645,0.2309489250183105
1,5,-0.09795918367346934,3.632544279098511,0.20883174240589145
1,10,-0.1346938775510204,2.8006584644317627,0.2182743102312088
1,15,-0.1346938775510204,2.2608981132507324,0.16444462537765506
1,20,-0.15918367346938778,1.8760915994644165,0.1968927085399628
1,25,-0.14693877551020407,1.5870928764343262,0.1829819679260254
1,30,-0.17142857142857146,1.3323968648910522,0.18303599953651428
1,35,-0.15918367346938778,1.1763434410095217,0.18042823672294614
1,40,-0.18367346938775508,0.9935635328292848,0.20258893072605133
1,45,-0.17142857142857146,0.9231302738189696,0.16753506660461426
1,50,-0.1959183673469388,0.7896366715431213,0.1998976618051529
2,0,-0.02448979591836731,3.64539647102356,0.13092786073684692
2,5,-0.08571428571428574,2.4842748641967773,0.12224151194095613
2,10,-0.12244897959183675,1.9210145473480225,0.12038657814264295
2,15,-0.11020408163265304,1.5984447002410889,0.12650159001350406
2,20,-0.11020408163265304,1.327411651611328,0.12885594367980954
2,25,-0.12244897959183675,1.1298515796661377,0.1277974545955658
2,30,-0.09795918367346934,1.009982347488403,0.11235537379980087
2,35,-0.11020408163265304,0.8778749108314514,0.11395590007305145
2,40,-0.11020408163265304,0.7916133403778076,0.13278049230575562
2,45,-0.12244897959183675,0.7117801904678345,0.11092951893806458
2,50,-0.09795918367346934,0.6534428596496582,0.11894327402114868
4,0,-0.07346938775510202,2.50846004486084,0.08121617883443832
4,5,-0.07346938775510202,1.7799299955368042,0.08008815348148346
4,10,-0.08571428571428574,1.4344568252563477,0.09072016924619676
4,15,-0.08571428571428574,1.220178723335266,0.08783740550279617
4,20,-0.09795918367346934,1.0539425611495972,0.08361022919416428
4,25,-0.09795918367346934,0.9350961446762084,0.09840501099824904
4,30,-0.09795918367346934,0.8275219798088074,0.0985477939248085
4,35,-0.11020408163265304,0.7519165277481079,0.0909428969025612
4,40,-0.11020408163265304,0.6923263669013977,0.09609425812959672
4,45,-0.08571428571428574,0.6362000107765198,0.08244242519140244
4,50,-0.09795918367346934,0.5889706611633301,0.09427011758089067
8,0,-0.061224489795918324,1.8082064390182493,0.055793706327676766
8,5,-0.07346938775510202,1.345996975898743,0.05427700653672218
8,10,-0.08571428571428574,1.1255835294723509,0.06724728643894196
8,15,-0.08571428571428574,0.9995909333229064,0.06553566455841063
8,20,-0.09795918367346934,0.8842567205429077,0.06322070956230164
8,25,-0.08571428571428574,0.8073146939277649,0.0634443536400795
8,30,-0.08571428571428574,0.7335442900657654,0.05153325945138931
8,35,-0.08571428571428574,0.6772115230560303,0.07175025343894957
8,40,-0.07346938775510202,0.6282010078430176,0.0595303475856781
8,45,-0.07346938775510202,0.5911810398101807,0.0647595226764679
8,50,-0.08571428571428574,0.5514007806777954,0.061472736299037926
16,0,-0.07346938775510202,1.32270085811615,0.03227829933166504
16,5,-0.07346938775510202,1.0532183647155762,0.04176289588212967
16,10,-0.07346938775510202,0.9409677386283876,0.04533390700817108
16,15,-0.07346938775510202,0.8621435761451721,0.043632347136735916
16,20,-0.07346938775510202,0.7965089678764343,0.042705539613962167
16,25,-0.07346938775510202,0.7398216128349304,0.043105293065309525
16,30,-0.061224489795918324,0.6870770454406738,0.03979424014687538
16,35,-0.07346938775510202,0.6486527919769287,0.043143033981323235
16,40,-0.07346938775510202,0.6113722920417786,0.04477779567241669
16,45,-0.061224489795918324,0.5756487846374512,0.04222695901989937
16,50,-0.061224489795918324,0.5479564666748047,0.03807306662201882
32,0,-0.07346938775510202,0.98064523935318,0.025178868323564533
32,5,-0.061224489795918324,0.8506917357444763,0.025950346142053604
32,10,-0.07346938775510202,0.8191893696784973,0.030745839700102806
32,15,-0.061224489795918324,0.7944338917732239,0.03102447278797626
32,20,-0.061224489795918324,0.7581889629364014,0.032408561557531364
32,25,-0.061224489795918324,0.7240990996360779,0.03401324152946472
32,30,-0.061224489795918324,0.6834542751312256,0.02963761612772942
32,35,-0.061224489795918324,0.6508933901786804,0.02872755751013756
32,40,-0.061224489795918324,0.6208114624023438,0.03363572433590889
32,45,-0.061224489795918324,0.5874931812286377,0.031130671501159668
32,50,-0.061224489795918324,0.5517170429229736,0.029498199000954625
