N,delay,AvgRet,StdRet,seed
1,5,3.669399976730346,0.2123055458068848,0
1,5,3.6539335250854488,0.2191104292869568,1
1,5,3.6489453315734863,0.2133791595697403,2
1,5,3.679779052734375,0.21538245677948,3
1,5,3.650900363922119,0.21572545170784,4
1,10,2.8410706520080566,0.2001654952764511,0
1,10,2.8338499069213867,0.2003912329673767,1
1,10,2.8472299575805664,0.2021523863077164,2
1,10,2.8392066955566406,0.19896544516086576,3
1,10,2.8374266624450684,0.19228872656822205,4
1,15,2.310004711151123,0.18870112299919128,0
1,15,2.3358631134033203,0.20032629370689392,1
1,15,2.2908310890197754,0.18853721022605896,2
1,15,2.3273367881774902,0.19293345510959625,3
1,15,2.326993703842163,0.19831527769565585,4
1,20,1.936167597770691,0.1961832046508789,0
1,20,1.9253771305084229,0.19200772047042847,1
1,20,1.932088851928711,0.1924455463886261,2
1,20,1.958925604820252,0.19941446185112,3
1,20,1.9175350666046145,0.1912295818328857,4
1,25,1.5886248350143433,0.1862439215183258,0
1,25,1.62949800491333,0.1981555074453354,1
1,25,1.6415801048278809,0.18817344307899475,2
1,25,1.6243263483047483,0.195196196436882,3
1,25,1.5892488956451416,0.19251392781734467,4
1,30,1.4038901329040527,0.186610609292984,0
1,30,1.3676607608795166,0.1900281906127929,1
1,30,1.39503276348114,0.19463759660720825,2
1,30,1.3977339267730713,0.18339911103248605,3
1,30,1.3795974254608154,0.1794339269399643,4
1,35,1.1539859771728516,0.18676002323627472,0
1,35,1.1619905233383179,0.1937393844127655,1
1,35,1.2167491912841797,0.19777753949165344,2
1,35,1.2122626304626465,0.18745195865631106,3
1,35,1.1756436824798584,0.1909835040569305,4
1,40,1.0786061286926272,0.19018416106700892,0
1,40,1.0915710926055908,0.1911181658506393,1
1,40,1.081723928451538,0.19384783506393435,2
1,40,1.055919885635376,0.18327225744724274,3
1,40,1.0281819105148315,0.1903395354747772,4
1,45,0.9522555470466614,0.17832475900650024,0
1,45,0.9571779370307922,0.1931932121515274,1
1,45,0.937925100326538,0.18594293296337128,2
1,45,0.9294267296791076,0.18675610423088074,3
1,45,0.9488852024078368,0.18372133374214167,4
1,50,0.8509012460708618,0.19645945727825165,0
1,50,0.8597525954246521,0.1966844946146012,1
1,50,0.8522309064865112,0.19561032950878146,2
1,50,0.8621366620063782,0.18571418523788447,3
1,50,0.7864866256713867,0.1866951733827591,4
2,5,2.627416610717773,0.13174986839294436,0
2,5,2.6227245330810547,0.13370433449745178,1
2,5,2.601868152618408,0.14855462312698364,2
